index,answer,rand,rand_s,ent,ent_s,pos,pos_s
434,taula,4,1,4,1,4,1
435,dooly,6,1,4,1,4,1
436,zlote,6,1,4,1,4,1
437,dooli,4,1,4,1,4,1
438,amlet,7,0,4,1,4,1
439,funge,6,1,6,1,6,1
440,joyce,6,1,4,1,4,1
441,eaves,10,0,9,0,9,0
442,cream,5,1,4,1,4,1
443,glued,5,1,4,1,4,1
444,stung,3,1,5,1,5,1
445,cloot,4,1,4,1,3,1
446,fasts,6,1,8,0,8,0
447,boney,5,1,7,0,7,0
448,wakon,6,1,5,1,5,1
449,derth,4,1,5,1,5,1
450,corpn,3,1,3,1,3,1
451,trias,3,1,3,1,3,1
452,liman,4,1,5,1,5,1
453,ourie,4,1,3,1,3,1
454,enapt,5,1,4,1,4,1
455,meson,3,1,3,1,3,1
456,tools,3,1,3,1,3,1
457,myths,4,1,4,1,4,1
458,moots,7,0,4,1,4,1
459,staid,6,1,4,1,5,1
460,ylems,7,0,5,1,5,1
461,revie,5,1,5,1,5,1
462,booze,4,1,5,1,5,1
463,stews,4,1,4,1,4,1
464,decem,3,1,4,1,4,1
465,tusks,5,1,4,1,4,1
466,aides,4,1,4,1,4,1
467,crust,4,1,4,1,4,1
468,algid,5,1,3,1,3,1
469,crepy,4,1,4,1,4,1
470,dasya,6,1,5,1,5,1
471,pobby,4,1,5,1,4,1
472,debag,6,1,5,1,5,1
473,hoped,6,1,4,1,4,1
474,slojd,4,1,5,1,5,1
475,gasts,4,1,7,0,7,0
476,seton,3,1,3,1,3,1
477,idyll,4,1,4,1,5,1
478,troak,3,1,4,1,4,1
479,rhamn,4,1,4,1,4,1
480,hurty,4,1,5,1,5,1
481,betty,4,1,4,1,8,0
482,dormy,6,1,5,1,5,1
483,punch,5,1,3,1,4,1
484,lenes,4,1,4,1,4,1
485,dioon,5,1,4,1,4,1
486,ilama,5,1,4,1,4,1
487,blayk,4,1,4,1,5,1
488,pbxes,4,1,5,1,5,1
489,groop,5,1,4,1,4,1
490,hermi,5,1,4,1,4,1
491,polyp,5,1,4,1,4,1
492,chars,5,1,5,1,5,1
493,wanga,6,1,5,1,5,1
494,sworn,4,1,4,1,4,1
495,morts,4,1,6,1,6,1
496,doges,7,0,7,0,7,0
497,ureal,5,1,4,1,4,1
498,slunk,5,1,3,1,3,1
499,crost,3,1,3,1,3,1
500,almeh,3,1,4,1,4,1
501,nifle,4,1,4,1,4,1
502,eppes,6,1,4,1,4,1
503,talis,3,1,3,1,3,1
504,wawah,5,1,5,1,5,1
505,incut,3,1,3,1,3,1
506,unais,4,1,3,1,3,1
507,daces,5,1,6,1,6,1
508,capel,3,1,4,1,4,1
509,newel,5,1,3,1,3,1
510,spawn,5,1,4,1,4,1
511,ardor,5,1,4,1,5,1
512,tilty,3,1,3,1,3,1
513,meech,6,1,5,1,5,1
514,noddi,4,1,4,1,4,1
515,route,4,1,4,1,5,1
516,suade,7,0,5,1,6,1
517,robot,4,1,3,1,4,1
518,saily,4,1,3,1,3,1
519,erept,6,1,4,1,4,1
520,coupe,3,1,4,1,4,1
521,crees,3,1,3,1,3,1
522,durrs,6,1,4,1,4,1
523,facit,4,1,4,1,4,1
524,talas,3,1,5,1,5,1
525,gleby,4,1,5,1,5,1
526,stoon,3,1,4,1,3,1
527,pipal,6,1,4,1,4,1
528,abote,4,1,4,1,4,1
529,shops,5,1,5,1,5,1
530,dimin,3,1,4,1,4,1
531,waler,3,1,3,1,3,1
532,kalon,3,1,3,1,3,1
533,cough,4,1,4,1,4,1
534,phlox,3,1,4,1,4,1
535,share,4,1,5,1,5,1
536,mulga,6,1,6,1,6,1
537,cesti,3,1,3,1,3,1
538,unapt,4,1,3,1,4,1
539,stert,4,1,4,1,4,1
540,serry,4,1,4,1,5,1
541,loams,4,1,4,1,4,1
542,yeuks,4,1,5,1,5,1
543,haves,6,1,8,0,8,0
544,bawly,6,1,4,1,4,1
545,blart,4,1,4,1,4,1
546,sauna,4,1,4,1,4,1
547,antas,3,1,4,1,3,1
548,crude,3,1,4,1,4,1
549,dotty,5,1,7,0,6,1
550,hadst,5,1,5,1,5,1
551,fleas,3,1,4,1,4,1
552,fondu,5,1,5,1,5,1
553,whute,4,1,4,1,4,1
554,wells,6,1,5,1,5,1
555,quits,4,1,4,1,4,1
556,hindi,4,1,4,1,5,1
557,hogan,3,1,5,1,5,1
558,wirer,5,1,4,1,4,1
559,casky,4,1,4,1,4,1
560,rifts,4,1,4,1,4,1
561,ready,3,1,4,1,5,1
562,umiri,4,1,4,1,4,1
563,lulls,6,1,5,1,5,1
564,idaic,4,1,4,1,4,1
565,afara,5,1,5,1,5,1
566,shedu,6,1,4,1,5,1
567,hutre,4,1,4,1,4,1
568,adoze,6,1,6,1,6,1
569,vison,4,1,3,1,3,1
570,fiked,6,1,7,0,7,0
571,valet,6,1,3,1,3,1
572,falun,4,1,4,1,4,1
573,fedia,3,1,4,1,4,1
574,gifts,4,1,5,1,5,1
575,false,6,1,6,1,6,1
576,barer,8,0,8,0,8,0
577,senso,4,1,4,1,4,1
578,seral,3,1,3,1,3,1
579,revel,8,0,4,1,4,1
580,danai,6,1,4,1,4,1
581,sayer,7,0,4,1,4,1
582,amati,4,1,5,1,4,1
583,nucal,4,1,3,1,3,1
584,copal,7,0,5,1,6,1
585,perdu,5,1,5,1,5,1
586,illus,5,1,4,1,4,1
587,cista,3,1,3,1,3,1
588,hidel,5,1,4,1,4,1
589,fells,10,0,10,0,10,0
590,stosh,6,1,5,1,5,1
591,guric,4,1,4,1,4,1
592,clite,3,1,3,1,3,1
593,sambo,4,1,4,1,4,1
594,knive,5,1,4,1,4,1
595,cumin,3,1,3,1,3,1
596,saner,3,1,3,1,3,1
597,emily,5,1,4,1,4,1
598,clips,3,1,3,1,3,1
599,pacha,4,1,4,1,4,1
600,garad,4,1,4,1,4,1
601,flops,6,1,7,0,7,0
602,nocks,3,1,3,1,3,1
603,aglet,4,1,5,1,5,1
604,games,6,1,6,1,6,1
605,gluer,5,1,4,1,4,1
606,amahs,6,1,4,1,5,1
607,ahull,5,1,5,1,4,1
608,tuple,3,1,3,1,3,1
609,guild,4,1,4,1,5,1
610,gloze,5,1,4,1,5,1
611,sensa,6,1,6,1,4,1
612,sanct,3,1,3,1,3,1
613,kinks,9,0,4,1,4,1
614,bilbo,4,1,6,1,6,1
615,unlie,3,1,3,1,3,1
616,otyak,5,1,4,1,4,1
617,skeen,4,1,4,1,4,1
618,noted,3,1,3,1,4,1
619,deota,3,1,4,1,4,1
620,roguy,4,1,3,1,3,1
621,pshaw,5,1,4,1,4,1
622,axone,5,1,4,1,4,1
623,pisum,5,1,4,1,4,1
624,curry,4,1,4,1,4,1
625,bruno,4,1,4,1,4,1
626,spoil,3,1,3,1,3,1
627,admin,5,1,4,1,4,1
628,reeky,4,1,4,1,4,1
629,rayas,4,1,4,1,4,1
630,stean,3,1,3,1,3,1
631,caupo,4,1,3,1,3,1
632,eying,7,0,4,1,4,1
633,bitts,4,1,5,1,5,1
634,listy,4,1,4,1,4,1
635,curve,3,1,3,1,3,1
636,china,4,1,4,1,4,1
637,orlop,3,1,3,1,3,1
638,waxes,6,1,8,0,8,0
639,kalan,5,1,4,1,4,1
640,pured,6,1,4,1,4,1
641,banjo,5,1,4,1,4,1
642,gaius,3,1,6,1,6,1
643,janes,8,0,9,0,9,0
644,geste,6,1,5,1,5,1
645,xenon,4,1,4,1,4,1
646,crunt,3,1,3,1,3,1
647,shool,4,1,4,1,4,1
648,kerat,6,1,4,1,4,1
649,recks,3,1,3,1,3,1
650,galee,6,1,4,1,4,1
651,contg,5,1,4,1,4,1
652,kvint,5,1,4,1,5,1
653,adieu,4,1,4,1,4,1
654,coyed,6,1,5,1,5,1
655,licca,4,1,4,1,3,1
656,wharf,4,1,5,1,5,1
657,lance,3,1,3,1,3,1
658,whoot,4,1,3,1,3,1
659,kerry,4,1,5,1,5,1
660,menic,3,1,4,1,4,1
661,moils,5,1,4,1,4,1
662,kiwai,6,1,5,1,4,1
663,xenia,4,1,3,1,4,1
664,nevus,4,1,4,1,5,1
665,spirt,5,1,4,1,4,1
666,takes,6,1,7,0,7,0
667,chiba,4,1,4,1,4,1
668,cotte,4,1,3,1,3,1
669,shewa,5,1,4,1,5,1
670,nonet,3,1,4,1,3,1
671,heath,7,0,5,1,5,1
672,zucco,5,1,4,1,4,1
673,ecart,3,1,4,1,4,1
674,bemat,6,1,3,1,6,1
675,aevum,5,1,5,1,5,1
676,chuff,5,1,4,1,4,1
677,washo,4,1,4,1,4,1
678,haras,5,1,7,0,7,0
679,malva,6,1,5,1,5,1
680,asked,5,1,4,1,4,1
681,alary,7,0,4,1,4,1
682,majas,7,0,6,1,6,1
683,sadis,7,0,3,1,3,1
684,jacob,4,1,4,1,4,1
685,naifs,5,1,3,1,3,1
686,uskok,4,1,4,1,4,1
687,lodge,4,1,4,1,4,1
688,bared,8,0,10,0,10,0
689,admix,5,1,5,1,5,1
690,areca,4,1,4,1,4,1
691,inmew,4,1,4,1,4,1
692,cumly,4,1,4,1,4,1
693,gases,7,0,4,1,4,1
694,glims,5,1,4,1,4,1
695,dolls,3,1,6,1,6,1
696,emcee,4,1,3,1,3,1
697,mewls,5,1,4,1,4,1
698,bless,6,1,4,1,4,1
699,garde,4,1,4,1,4,1
700,tarea,4,1,5,1,5,1
701,unhap,5,1,5,1,5,1
702,thave,3,1,4,1,4,1
703,cloes,3,1,3,1,3,1
704,bahan,5,1,4,1,4,1
705,macco,5,1,5,1,4,1
706,beaky,6,1,6,1,6,1
707,endia,5,1,5,1,5,1
708,cadet,3,1,3,1,3,1
709,trama,5,1,4,1,4,1
710,mccoy,3,1,4,1,4,1
711,aways,5,1,4,1,4,1
712,sourd,4,1,4,1,4,1
713,laius,4,1,4,1,4,1
714,petit,5,1,4,1,4,1
715,aurar,4,1,4,1,4,1
716,doley,4,1,3,1,3,1
717,alfin,4,1,7,0,7,0
718,coifs,3,1,3,1,3,1
719,jaups,6,1,6,1,6,1
720,sizar,4,1,4,1,4,1
721,pomey,7,0,4,1,4,1
722,patia,4,1,4,1,4,1
723,unwig,5,1,6,1,6,1
724,sewan,4,1,4,1,4,1
725,brugh,4,1,4,1,4,1
726,morga,5,1,5,1,5,1
727,malty,5,1,4,1,4,1
728,warri,4,1,5,1,5,1
729,raupo,4,1,4,1,4,1
730,theet,4,1,4,1,4,1
731,delia,3,1,6,1,6,1
732,petal,4,1,4,1,4,1
733,xerus,5,1,5,1,5,1
734,lepre,5,1,3,1,3,1
735,barny,4,1,4,1,4,1
736,kiowa,4,1,4,1,4,1
737,inion,3,1,6,1,4,1
738,lames,7,0,6,1,6,1
739,navis,3,1,4,1,4,1
740,bovld,5,1,5,1,5,1
741,ardeb,4,1,3,1,3,1
742,chirp,3,1,4,1,4,1
743,ruins,4,1,4,1,4,1
744,teles,3,1,4,1,4,1
745,furze,6,1,5,1,5,1
746,snirl,3,1,3,1,3,1
747,bikes,6,1,5,1,5,1
748,arioi,4,1,4,1,3,1
749,ombre,4,1,4,1,5,1
750,veery,5,1,4,1,4,1
751,pandy,9,0,6,1,6,1
752,wiggy,4,1,4,1,5,1
753,howks,5,1,4,1,4,1
754,jingo,3,1,6,1,6,1
755,ennoy,3,1,5,1,3,1
756,sexes,7,0,4,1,4,1
757,lotic,3,1,3,1,3,1
758,vesta,4,1,4,1,4,1
759,vagas,8,0,4,1,4,1
760,fices,7,0,5,1,5,1
761,prams,5,1,7,0,7,0
762,arith,4,1,4,1,4,1
763,fibre,5,1,4,1,4,1
764,bytes,5,1,6,1,6,1
765,below,5,1,5,1,5,1
766,stout,6,1,4,1,5,1
767,maint,6,1,4,1,4,1
768,pogey,6,1,5,1,5,1
769,combe,5,1,5,1,5,1
770,olena,4,1,3,1,3,1
771,abave,5,1,6,1,6,1
772,zunis,3,1,4,1,4,1
773,albin,4,1,4,1,4,1
774,exile,5,1,4,1,4,1
775,tachi,4,1,4,1,4,1
776,skift,4,1,5,1,5,1
777,bagne,5,1,4,1,4,1
778,clepe,4,1,4,1,3,1
779,goads,5,1,5,1,5,1
780,chert,4,1,4,1,4,1
781,corno,5,1,5,1,5,1
782,surly,3,1,3,1,3,1
783,cooty,4,1,4,1,4,1
784,alban,5,1,5,1,5,1
785,shaku,5,1,5,1,5,1
786,renig,3,1,3,1,4,1
787,ramps,3,1,5,1,5,1
788,onymy,5,1,4,1,4,1
789,pacas,4,1,4,1,4,1
790,walks,8,0,7,0,7,0
791,dryas,5,1,4,1,4,1
792,halts,4,1,5,1,5,1
