word1,word2,entropy
rales,toile,9.251119
salet,trois,9.250807
lanes,serio,9.250418
rales,senti,9.250377
tares,noire,9.249438
aures,tenia,9.249239
solea,tiros,9.249093
earns,sotie,9.248461
reals,saint,9.248264
nates,soral,9.248184
taros,siena,9.248164
sarin,rotes,9.247012
mares,tenia,9.246734
seora,tiles,9.246551
tarns,aisle,9.246344
tires,solar,9.245668
taels,reina,9.245496
aloes,terai,9.244796
tears,alien,9.244747
rales,snite,9.244671
arles,sotie,9.244380
solea,tarsi,9.244273
salet,aeron,9.244172
teras,slain,9.244050
tires,salue,9.244030
saite,roans,9.242891
setal,airns,9.242802
salet,roans,9.242789
tries,saron,9.242121
rains,setal,9.241846
tails,soler,9.241573
ranis,slate,9.241542
tares,suine,9.241334
saner,lotas,9.241193
naris,slate,9.241026
taros,solen,9.240734
salet,auris,9.240345
sinae,darts,9.240314
saner,trois,9.238727
senal,artie,9.238624
tales,senor,9.238484
saner,telos,9.238484
senal,arite,9.238470
saner,tiros,9.238452
seora,tines,9.238247
nares,alite,9.238157
toras,ariel,9.238011
aries,toral,9.238011
lares,seton,9.237422
tarie,roans,9.237413
liras,saute,9.237313
tarns,soler,9.237185
lears,saint,9.236950
tarse,linea,9.236698
tires,sonar,9.236083
tales,resin,9.235824
nates,serio,9.235783
liras,sotie,9.235065
taise,seron,9.233984
tarse,solen,9.233755
aries,sloat,9.233678
rates,slain,9.233670
sarin,roles,9.233214
aries,leant,9.232820
saite,lures,9.232714
lares,suite,9.232714
raise,toles,9.232229
taise,roles,9.232229
rales,toise,9.232229
aures,sanit,9.231821
toras,salue,9.231621
rails,sotie,9.231279
taros,senit,9.230975
tarie,tolas,9.230957
tares,elain,9.230813
lares,neist,9.230768
ceras,saint,9.230063
dales,terai,9.229956
snare,talis,9.229545
tares,minae,9.229470
rates,sline,9.229428
tores,aisle,9.229045
sinae,tared,9.228594
taels,sonar,9.228152
teras,alone,9.228103
mares,senit,9.227803
slare,tinea,9.227638
aries,solan,9.227557
aotes,reina,9.226852
sinae,rotes,9.225785
tears,solen,9.225766
serin,cates,9.225657
reals,satin,9.225616
tarie,notes,9.225606
lairs,sotie,9.225420
sinae,toles,9.224774
lanes,tisar,9.224267
toras,sadie,9.224163
seora,laine,9.223829
slare,tines,9.223379
tares,noise,9.223143
nares,toise,9.223143
salet,trios,9.222830
saner,loris,9.222782
salue,terai,9.222739
ranis,sorel,9.222736
treas,silen,9.222539
slate,airns,9.222431
airts,slane,9.222431
arles,sitao,9.222404
aloes,sarin,9.221971
toras,saice,9.221294
sinae,artel,9.221279
rotes,sanit,9.220342
talis,soter,9.220193
raise,lotas,9.220121
taels,serio,9.219640
serin,taces,9.219569
aures,senit,9.219509
seral,tiens,9.219138
reals,sotie,9.218944
serta,dalis,9.218885
solea,tiers,9.218383
serta,canis,9.218260
lares,stine,9.218076
aloes,terna,9.217827
tarie,orles,9.217709
tares,alone,9.217676
lanes,resit,9.217392
salet,riots,9.217388
sinae,roles,9.217296
raise,tones,9.217293
rains,sotie,9.217090
teras,noire,9.216944
rates,liane,9.216495
lanes,torse,9.216433
aeons,taler,9.216242
tales,rinse,9.216096
solea,nerts,9.216089
lanes,sotie,9.215998
teals,saron,9.215748
taros,slier,9.215615
airts,soler,9.215613
airts,sulea,9.215114
ranis,stoae,9.215089
lares,stain,9.214813
lears,satin,9.214600
seral,toise,9.214591
lanes,reist,9.214591
sorel,trias,9.214567
tries,soral,9.214567
taros,aisle,9.214550
tears,sinal,9.214415
tarie,ornes,9.214373
salet,drias,9.214351
tarie,deals,9.214330
toras,saned,9.214245
lears,sotie,9.214052
taise,soler,9.213956
sinae,carls,9.213871
lanes,ceria,9.213661
rates,toile,9.213611
trias,salue,9.212388
saner,iotas,9.212231
tores,slait,9.211637
solea,carts,9.211523
saner,toise,9.211240
naris,stoae,9.211176
ceras,tinea,9.211095
solea,trans,9.210869
lares,ariot,9.210675
saite,rosal,9.209743
salet,rinse,9.209691
ranis,soter,9.209627
rasen,tolas,9.209619
strae,lenis,9.209579
treas,linea,9.209467
teras,slone,9.209412
teras,suine,9.209381
saner,alite,9.209300
saite,orles,9.208677
slare,tains,9.208037
tores,slane,9.207674
toras,slane,9.207290
tares,arion,9.206923
nates,solar,9.206875
sarin,least,9.206738
leans,artie,9.205929
ceras,laine,9.205598
tails,serio,9.205542
sinae,loris,9.205453
tarse,slain,9.204831
lanes,surat,9.204723
toras,slier,9.204675
salet,moras,9.204660
airns,sotie,9.204415
rates,sloan,9.204208
ceras,satin,9.204182
naris,soter,9.203983
talis,serau,9.203940
saite,ornes,9.203872
tares,anole,9.203705
strae,nails,9.203555
tores,reina,9.203441
serta,alois,9.203331
snare,tails,9.203104
senal,rites,9.202752
saner,trios,9.202357
teras,snail,9.202278
serai,notes,9.202043
rails,soter,9.201318
dales,serin,9.201248
salet,peris,9.200944
tarie,claes,9.200815
lares,stoai,9.200752
taros,sulea,9.200562
taels,seron,9.199833
teals,sonar,9.199443
cares,slait,9.199350
aries,santo,9.199196
siren,ratos,9.198530
rites,saron,9.198530
tarns,sulea,9.198172
toras,siena,9.198040
tares,since,9.197991
aures,saint,9.197905
leans,arite,9.197428
saite,rules,9.197310
rales,suite,9.197310
tales,morae,9.197223
solea,carte,9.197162
trias,saned,9.196647
serta,ualis,9.196598
taros,ariel,9.196573
strae,lines,9.196573
airts,salue,9.196559
ranis,soler,9.196467
tries,solar,9.195950
trias,soler,9.195950
seora,aliet,9.195777
tarie,deans,9.195666
serta,laius,9.195528
rates,norie,9.195389
pares,senit,9.195379
arles,senti,9.195251
nares,slote,9.195248
tries,sonar,9.195185
saite,cores,9.195166
cares,sinal,9.195087
serai,oaten,9.194941
raise,telos,9.194878
solea,rents,9.194637
rails,stoae,9.194532
lairs,soter,9.194519
tares,sicle,9.194465
solea,teian,9.193846
tarie,elans,9.193784
taros,slane,9.193587
tares,eosin,9.193235
rains,soter,9.193190
salet,morae,9.192371
sinae,larus,9.192323
lores,arite,9.192252
siren,rotas,9.192235
earns,aliet,9.191564
saite,moras,9.191552
cares,sotie,9.191225
rates,aline,9.190814
teras,noise,9.190784
tales,craie,9.190658
tares,lenis,9.190450
saner,riots,9.190449
tarse,alois,9.190370
slate,rains,9.190321
naris,soler,9.190286
nares,suite,9.190102
rates,snail,9.189928
tails,serau,9.189896
sorel,rains,9.189866
serio,tains,9.189818
sinae,oater,9.189693
tarse,lenos,9.189485
tarie,meals,9.189220
teals,marie,9.189220
seora,lites,9.189151
tales,snore,9.188774
seora,nails,9.188585
lores,artie,9.188556
nares,stile,9.188472
tries,salue,9.188196
tarie,toles,9.188158
cares,slite,9.188104
salet,serin,9.188058
tores,salue,9.188049
serai,tules,9.187780
aloes,retia,9.187720
riles,saron,9.187643
sorel,neats,9.187592
snare,tiles,9.187532
saite,lenos,9.187489
rales,seton,9.187204
lairs,stoae,9.186841
serta,loans,9.186645
tares,sidle,9.186606
raise,solan,9.186329
lares,suina,9.186000
tears,solan,9.185954
rales,norie,9.185857
tries,slane,9.185789
solea,reins,9.185766
aloes,serin,9.185452
serai,talus,9.184922
aures,slait,9.184826
naris,sulea,9.184613
lores,siena,9.184278
saite,runes,9.184263
trias,sulea,9.184177
earns,slite,9.183988
cares,sloat,9.183725
dares,slait,9.183670
tarie,tones,9.183559
solea,maris,9.183115
tales,norse,9.183057
lores,sitar,9.182588
liras,soter,9.182588
salet,ceros,9.182509
aures,satin,9.182092
tears,sline,9.182078
aeons,sitar,9.181842
sinae,telos,9.181763
dares,sinal,9.181603
tores,saice,9.181516
arles,snite,9.181152
dares,sotie,9.180372
rates,anile,9.179976
taise,senor,9.179811
arise,tolas,9.179674
cares,solan,9.179289
aloes,sitar,9.179122
lanes,stire,9.178946
seral,notes,9.178577
rales,stine,9.178431
aloes,sanit,9.178355
aries,salon,9.178225
treas,solen,9.178157
slare,tones,9.177968
saner,roils,9.177893
sarin,tolas,9.177143
talis,arose,9.176952
tares,diane,9.176678
saite,loser,9.176517
dares,slite,9.176299
tores,sadie,9.176135
nears,sotie,9.176034
saite,rosel,9.176015
ranis,sulea,9.175817
serin,toles,9.175772
salet,craie,9.175608
trias,slane,9.174513
salet,norse,9.174377
lares,noire,9.174226
aesir,tones,9.173739
tarie,lenis,9.173439
aesir,toles,9.173223
rains,stoae,9.172934
leans,sitar,9.172276
raise,sloat,9.172119
tares,slice,9.172039
arles,santo,9.171819
rains,soler,9.171302
tales,sorda,9.171098
dares,solan,9.170363
lanes,irate,9.170095
saner,alois,9.169959
tales,deair,9.169557
lanes,serut,9.169494
lanes,arist,9.169015
toras,sulea,9.168977
tarie,means,9.168628
oreas,sanit,9.168602
saite,loans,9.168472
lanes,sitao,9.168309
tears,salon,9.167997
riles,saute,9.167767
rites,slane,9.167673
aries,seton,9.167541
lares,suine,9.167452
saute,airns,9.167425
tares,toile,9.167008
serin,males,9.167001
senal,rotes,9.166586
lores,senit,9.166262
tares,silen,9.165879
tales,siren,9.165879
saite,ceros,9.165823
aries,slote,9.165682
sinae,roset,9.165293
airns,soler,9.165044
tarse,loans,9.164974
tarse,alien,9.164838
tarie,leads,9.164647
cares,sitao,9.163875
tires,alose,9.163530
taise,solen,9.163484
rasen,sotie,9.163260
antes,serio,9.163114
tores,sarin,9.163104
sorel,arite,9.162887
liras,saned,9.162757
raise,solen,9.162660
taise,roans,9.162432
tarie,soral,9.162227
lanes,stair,9.161745
lanes,toras,9.161419
seora,lines,9.160763
cares,snite,9.160394
sinae,leora,9.160069
solea,marie,9.160056
tarie,telos,9.159930
mares,slait,9.159757
rates,slone,9.159746
lares,staio,9.159560
tares,linea,9.158782
lares,tinea,9.158782
ranis,stale,9.158521
siena,rotes,9.158012
airns,sulea,9.157995
sinae,roast,9.157924
sanit,arose,9.157857
seora,litas,9.157682
aries,sloan,9.157670
laser,sotie,9.157632
ceras,sotie,9.157580
ceras,silen,9.157455
arles,toise,9.157324
arise,toles,9.157324
tales,sarin,9.156705
tares,aliso,9.156445
solea,irate,9.156323
tares,solay,9.156250
tarie,lores,9.155728
tarie,peals,9.155453
tores,anise,9.155407
saite,mores,9.154549
reals,toise,9.154285
sorel,artie,9.154258
naris,stale,9.153929
taros,tinea,9.153773
lares,stone,9.153661
sinae,trues,9.153497
aures,slite,9.153280
slate,reins,9.153174
cares,alite,9.152939
senal,ratos,9.152726
lears,toise,9.152398
rales,noire,9.152205
salet,deair,9.151907
lanes,trias,9.151862
lares,noise,9.151686
sinae,orles,9.151416
dales,sitar,9.151221
rains,sulea,9.151086
saite,noels,9.150624
rates,suine,9.150614
sacre,tiles,9.150288
salet,arius,9.150287
siena,ratos,9.150107
tares,slide,9.149840
lanes,tarie,9.149798
aures,sinal,9.149631
saite,soral,9.149630
tares,seoul,9.148761
salet,ireos,9.148550
sarin,orles,9.148437
mares,sotie,9.148413
aotes,laine,9.148285
arise,tones,9.148209
snare,toles,9.147899
lanes,toise,9.147648
roles,siena,9.147264
solea,carne,9.146817
tarie,alces,9.146733
mares,slite,9.146403
lares,sanit,9.145929
solea,paris,9.145415
tares,socle,9.145084
neats,soler,9.144688
leans,soter,9.144489
airts,saned,9.143980
sinae,lures,9.143955
sinae,cores,9.143704
salue,airns,9.143173
arles,norie,9.143130
siena,toles,9.142604
riles,stoae,9.141991
seral,sanit,9.141787
arose,tiles,9.141741
tares,noria,9.141236
salue,rites,9.141037
salet,horas,9.140782
tores,teian,9.140272
lores,saute,9.140129
teras,soled,9.139869
solea,tisar,9.139861
dares,alite,9.139345
arles,caite,9.139116
serai,loans,9.138358
tares,cosie,9.138246
salet,orans,9.138001
talis,serin,9.137353
lanes,roast,9.137147
saite,noser,9.136662
sacre,tines,9.136387
tales,airns,9.136318
aloes,senit,9.136154
aloes,saint,9.135830
tores,telia,9.135569
arles,suite,9.135136
teras,toile,9.135037
tails,arose,9.134958
aries,sault,9.134606
tares,sonde,9.134500
saite,orals,9.134154
raise,notes,9.134102
rates,noise,9.134102
lores,saice,9.133183
teras,lines,9.132320
aures,liane,9.132169
leans,sotie,9.131936
teras,larin,9.131934
aures,laine,9.131404
sarin,claes,9.131172
salet,meros,9.131088
cares,sline,9.130643
rales,suine,9.130607
serio,cates,9.130567
tores,tenia,9.130441
sinae,maros,9.130371
dales,serio,9.130089
saute,rials,9.129604
aloes,tarsi,9.129230
taise,orles,9.128950
lores,sadie,9.128535
lares,toran,9.128398
tares,loran,9.128398
saite,solar,9.128205
tarie,sorel,9.127706
canes,serio,9.126565
tarie,almes,9.126554
serio,taces,9.126316
aisle,saron,9.126032
aloes,satin,9.125158
cares,liane,9.124876
nares,tolas,9.124537
saite,meros,9.123298
saite,sonar,9.123243
taise,ornes,9.122896
saite,sorel,9.122331
teras,nails,9.122329
solea,mairs,9.121681
rotes,aisle,9.121487
danes,serio,9.121282
rales,noise,9.120645
tires,saple,9.120209
tares,solen,9.119820
cares,slote,9.118209
sinae,toras,9.118052
taise,cores,9.117942
cares,toise,9.117942
solea,sarin,9.117654
tares,somne,9.117473
saite,horas,9.117292
solea,tires,9.117213
salue,tines,9.117121
tares,laine,9.117057
saite,pores,9.117011
tales,noise,9.116518
tales,reins,9.116163
lanes,orate,9.116153
rotes,slane,9.115372
aries,saunt,9.115070
taros,siren,9.114996
tires,saron,9.114996
lanes,store,9.114181
aotes,liras,9.113169
dares,liane,9.113167
lares,diane,9.113167
pares,sotie,9.112805
salet,serio,9.112001
salet,naris,9.111833
lanes,craie,9.111152
saite,orans,9.111066
ceras,solen,9.111046
aries,tolas,9.110574
rales,tinea,9.110399
tares,norie,9.110295
lanes,rotse,9.110147
lares,saint,9.110019
seral,saint,9.110005
solea,raids,9.109745
saite,boras,9.109216
sinae,ceros,9.109084
talis,soler,9.108892
roles,saute,9.108813
sacre,toles,9.108070
dares,toise,9.107229
toras,siren,9.107176
tares,liens,9.106968
lares,tiens,9.106968
tarie,seron,9.105395
salet,ranis,9.104570
rales,sanit,9.104570
serai,coles,9.104510
raise,lenos,9.104423
aotes,marie,9.103990
dares,slote,9.103248
sinae,mores,9.101398
roles,saice,9.100870
sacre,tones,9.100538
saite,seron,9.100157
lores,talis,9.099521
tales,loris,9.099521
serai,cones,9.099489
lanes,airts,9.099194
tares,alien,9.098407
saner,talis,9.096653
tores,ranis,9.096440
serai,doles,9.096349
rotes,saice,9.096286
aries,slone,9.096184
sinae,orals,9.096004
tares,alois,9.095966
sinae,rules,9.095867
seral,tarin,9.095577
nares,litas,9.095453
nates,liras,9.095453
serio,males,9.094922
salue,rotes,9.094037
raise,loans,9.093915
sadie,roles,9.093692
tores,lairs,9.093351
tires,leans,9.093125
lares,satin,9.092887
tires,soral,9.092624
serta,silen,9.091654
tares,lenos,9.090879
aeons,slier,9.090581
races,sotie,9.089932
solea,auris,9.089099
saite,coles,9.088435
saner,tiles,9.088418
sarin,lores,9.087401
naris,sotie,9.087375
salue,tones,9.086738
sadie,rotes,9.086077
solea,sanit,9.084815
sorel,tarns,9.084779
salet,sonar,9.084447
aries,stole,9.083903
lores,tails,9.083465
lares,toils,9.083465
saite,soler,9.083273
ranis,sotie,9.082982
salet,seron,9.082527
naris,tiles,9.081124
teals,airns,9.081091
saite,doles,9.080193
riles,tarns,9.080033
lores,laine,9.079356
tires,aeons,9.078630
tares,loans,9.078421
hares,sotie,9.078044
saite,roils,9.077765
tores,rails,9.076753
tares,roils,9.076753
taise,mores,9.075619
tares,linet,9.075410
tales,orias,9.074915
rates,lenis,9.074791
lares,trois,9.074300
lares,iotas,9.074083
saite,bores,9.073867
saice,toles,9.073846
tares,niels,9.073736
earns,tiles,9.073700
salet,tarin,9.073486
teras,norie,9.073324
tarie,slane,9.072916
tares,anils,9.072731
saner,tails,9.072006
tarie,alois,9.071476
sarin,slate,9.070646
sarin,setal,9.069047
seral,satin,9.069047
salet,rains,9.068912
rales,saint,9.068912
earls,tines,9.068694
seora,sanit,9.068447
arles,tinea,9.067838
dales,sotie,9.067817
teals,naris,9.067345
arles,tains,9.067064
taros,serin,9.066598
bares,sotie,9.066291
naris,tones,9.066015
tores,rains,9.065768
serta,linea,9.065564
ranis,tiles,9.065260
sadie,toles,9.065114
rales,tiens,9.064795
talis,serio,9.064713
sinae,pores,9.064491
sinae,tiros,9.064468
teals,ranis,9.064441
lares,noria,9.063858
tries,laine,9.063761
saite,cones,9.063346
tarse,loris,9.063319
saner,sotie,9.062634
seral,sotie,9.062086
rales,tarin,9.061926
toras,riles,9.060942
ceras,talis,9.060905
tares,salon,9.060573
tales,saron,9.060573
aloes,marie,9.060437
airts,sorel,9.060276
lores,terai,9.060233
rales,tiros,9.060111
taros,riles,9.060111
saite,roads,9.060042
aures,sotie,9.059548
tares,ceils,9.058683
aotes,siren,9.058633
nares,lotas,9.058508
aotes,naris,9.058367
saite,roues,9.058354
sarin,torse,9.057760
saner,toles,9.057647
toras,serin,9.057484
solea,saint,9.057259
lanes,tiers,9.056830
canes,sotie,9.056428
saite,solan,9.056310
tares,delis,9.056064
rates,silen,9.055510
teras,canis,9.055274
lares,tairn,9.055014
tires,aeron,9.055010
aures,salon,9.054660
saite,gores,9.054451
aries,lotas,9.054251
teras,loren,9.054099
aotes,ranis,9.053496
rails,toles,9.052617
roles,tails,9.052617
tales,roils,9.052617
rales,toils,9.052617
slare,sanit,9.052552
nares,telos,9.052065
solea,terna,9.051939
teras,sinal,9.051924
lanes,tarin,9.051815
liras,toles,9.051802
tares,denis,9.051527
reals,tines,9.051096
lanes,rotas,9.051065
tares,colas,9.050577
cares,tolas,9.050577
rales,satin,9.050345
danes,sotie,9.050020
sinae,telar,9.048965
ceras,tails,9.048815
tores,leans,9.048730
saner,slait,9.048629
tears,lines,9.048273
lears,tines,9.048273
toras,canes,9.047957
teras,alois,9.047855
solea,tries,9.047782
lares,trios,9.047471
rates,loris,9.047406
siren,slate,9.047384
nares,aliet,9.047092
toras,solen,9.047067
saite,moles,9.046761
cares,tinea,9.046465
sadie,tones,9.045479
teras,dalis,9.045208
seora,saint,9.045068
aotes,rails,9.045039
taels,airns,9.044785
rales,trois,9.044617
taels,sarin,9.044134
aotes,rials,9.043794
tarie,lures,9.043733
saite,senor,9.043274
tares,liner,9.043134
airts,leans,9.042839
aures,talis,9.042636
tales,auris,9.042636
teals,rains,9.042379
reals,tains,9.042379
lores,trias,9.042339
sinae,carte,9.042250
rates,linea,9.042052
siren,taler,9.041918
tarns,serio,9.041916
saner,slite,9.041758
aotes,lairs,9.041639
naris,sorel,9.041483
siren,setal,9.041045
tales,roans,9.040203
aloes,trias,9.039841
tares,deils,9.039588
solea,serin,9.039156
lares,antis,9.038257
lares,norie,9.037977
serta,solen,9.037222
airts,toles,9.037006
teras,anils,9.036981
trias,canes,9.036966
teras,laius,9.036676
lears,tains,9.036277
saite,norie,9.035220
roles,tarns,9.034886
rales,iotas,9.034377
lairs,toles,9.034110
salet,cires,9.034076
lares,riots,9.034069
aotes,rains,9.034034
sinae,sorel,9.033876
tares,donas,9.033348
toras,danes,9.033348
talis,rotes,9.033176
earls,tones,9.032396
earns,toles,9.032338
aotes,liars,9.031786
toras,dales,9.031782
dares,tolas,9.031782
sarin,taler,9.031388
saite,solen,9.031348
cares,litas,9.029438
liras,cates,9.029438
tares,noels,9.029299
rains,tones,9.028356
slate,serin,9.028270
tarie,canes,9.028150
saite,larin,9.027907
tares,minas,9.027827
ceras,tains,9.027649
teras,cains,9.027649
aries,toile,9.027448
sinae,torse,9.027326
nares,trois,9.027273
tares,melis,9.027244
nears,talis,9.027156
nares,iotas,9.027129
serai,tolas,9.026613
tires,nails,9.026469
airns,tones,9.026015
taros,lites,9.025930
tears,nails,9.025930
nears,tails,9.025930
liras,antes,9.025849
ceras,tiles,9.025630
tarie,roues,9.025464
teals,serin,9.025212
teras,ualis,9.024944
taels,reins,9.024674
cares,sanit,9.024639
aries,telos,9.024492
tores,litas,9.024486
toras,lites,9.024486
tires,lotas,9.024486
dares,tinea,9.023777
tores,liars,9.023742
serta,sline,9.021615
lores,ranis,9.021563
saner,lites,9.021283
aures,tails,9.020799
saite,sural,9.020460
liras,taces,9.020104
aloes,tarns,9.020021
serta,loris,9.019967
airts,tones,9.019552
airts,roles,9.018457
saute,serin,9.018317
rales,trios,9.018315
teras,liens,9.018230
teras,solan,9.017959
ceras,tines,9.017593
teras,cines,9.017593
sarin,stoae,9.017357
tores,rials,9.017093
saner,sloat,9.017092
tales,drias,9.016974
trias,dales,9.016974
tales,riots,9.016747
solea,satin,9.016670
nears,tiles,9.016149
trias,danes,9.016086
aries,laten,9.015960
rales,tairn,9.015838
rotes,tails,9.015769
rates,toils,9.015769
tries,leans,9.015556
seral,tenia,9.014783
lairs,tines,9.014470
trias,roles,9.014108
rails,tines,9.014047
tares,ornis,9.013961
tarie,nails,9.013955
reals,tones,9.013790
rains,tiles,9.013606
riles,tains,9.013606
salet,senor,9.013415
lears,tones,9.013165
rates,solen,9.013149
sorel,terai,9.012864
rates,laine,9.012828
sorel,airns,9.012772
serta,sinal,9.012640
tarie,dales,9.012172
tores,elias,9.011775
ranis,taler,9.011651
seral,tiros,9.011367
serta,salon,9.010698
teras,loans,9.010516
toras,leans,9.010516
treas,lines,9.010230
naris,taler,9.010084
slare,senit,9.009737
tears,liane,9.009354
tarie,slote,9.009297
seora,satin,9.009243
seral,snite,9.009190
sarin,soter,9.009168
seora,tinea,9.008724
solea,rites,9.008707
dares,litas,9.008383
lares,ditas,9.008383
liras,dates,9.008383
tarie,cores,9.008358
saner,aliet,9.008249
tires,alois,9.008222
lares,toner,9.008048
tares,loner,9.008048
tarie,danes,9.007028
lairs,rotes,9.006786
tares,lunas,9.006653
lares,tunas,9.006653
dares,sanit,9.006558
salet,tairn,9.006536
earns,lites,9.006486
saite,yores,9.005606
aures,tains,9.005568
rates,alois,9.005374
rotes,tains,9.005305
arles,tiros,9.005062
